word	idx	context	definition	domain	hypernym
end	6	the phone rang at the other end	one of two places from which people are communicating to each other	0	['topographic_point', 'place', 'spot']
delirium	0	Delirium has a short onset , occurring within a few hours or days , while dementia is a slowly progressing disease that first presents with only minor symptoms .	A disorder characterized by confusion; inattentiveness; disorientation; illusions; hallucinations; agitation; and in some instances autonomic nervous system overactivity. It may result from toxic/metabolic conditions or structural brain lesions. (From Adams et al., Principles of Neurology, 6th ed, pp411-2)	1	['neurocognitive_disorder', 'confusion']
sawmill	4	He brought his portable sawmill and turned the old beams into interesting flooring .	a mill for dressing logs and lumber	0	['factory', 'mill', 'manufacturing_plant', 'manufactory']
delirium	7	In the episode called Going Inside , Delirium is saved from having gone too deep inside her own mind by five mentally challenged people and her guardian dog .	A disorder characterized by confusion; inattentiveness; disorientation; illusions; hallucinations; agitation; and in some instances autonomic nervous system overactivity. It may result from toxic/metabolic conditions or structural brain lesions. (From Adams et al., Principles of Neurology, 6th ed, pp411-2)	1	['neurocognitive_disorder', 'confusion']
amnesia	0	Amnesia is an odd dysfunction of the brain .	Pathologic partial or complete loss of the ability to recall past experiences (amnesia, retrograde) or to form new memories (amnesia, anterograde). This condition may be of organic or psychologic origin. Organic forms of amnesia are usually associated with dysfunction of the diencephalon or hippocampus.	1	['neurocognitive_disorder', 'memory_disorder']
corona	9	How close are we to finding a cure for Corona ?	A viral disorder characterized by high fever; cough; dyspnea; renal dysfunction and other symptoms of a viral pneumonia. A coronavirus sars-CoV-2 in the genus betacoronavirus is the suspected agent.	1	['pneumonia', 'viral_pneumonia', 'coronavirus_infection']
dengue	10	This otherworldy visual accompaniment suits the evolved 2009 version of Dengue Fever .	An acute febrile disease transmitted by the bite of aedes mosquitoes infected with dengue virus. It is self-limiting and characterized by fever, myalgia, headache, and rash. severe dengue is a more virulent form of dengue.	1	['flavivirus_infection', 'hemorrhagic_fever', 'viral_hemorrhagic_fever', 'arbovirus_infection']
kuru	16	Incidentally , these individuals were also women and children , which explained why the incidence of Kuru was so much higher in this portion of the Fore population .	A prion disease found exclusively among the Fore linguistic group natives of the highlands of new guinea. The illness is primarily restricted to adult females and children of both sexes. It is marked by the subacute onset of tremor and ataxia followed by motor weakness and incontinence. Death occurs within 3-6 months of disease onset. The condition is associated with ritual cannibalism, and has become rare since this practice has been discontinued. Pathologic features include a noninflammatory loss of neurons that is most prominent in the cerebellum, glial proliferation, and amyloid plaques. (From Adams et al., Principles of Neurology, 6th ed, p773)	1	['prion_disease']
iris	9	These findings indicate that immune status differed between the iris tissues of POAG and CACG patients and those of normal individuals .	The most anterior portion of the uveal layer, separating the anterior chamber from the posterior. It consists of two layers - the stroma and the pigmented epithelium. Color of the iris depends on the amount of melanin in the stroma on reflection from the pigmented epithelium.	1	['uvea', 'anterior_eye_segment']
fantasy	2	a schoolgirl fantasy	fiction with a large amount of imagination in it	0	['fiction']
trade	5	as they say in the trade	people who perform a particular kind of skilled work	0	['class', 'stratum', 'social_class', 'socio-economic_class']
climax	5	the deathbed scene is the climax of the play	the highest point of anything conceived of as growing or developing or unfolding	0	['juncture', 'occasion']
vertigo	54	When the upper part of the neck is not working correctly ( crooked or stuck ) , the messages it gives to the brain do not correlate with the other messages the brain is receiving about balance and motion from the rest of the body . When these messages do not match up , vertigo is the result .	An illusion of movement, either of the external world revolving around the individual or of the individual revolving in space. Vertigo may be associated with disorders of the inner ear (ear, inner); vestibular nerve; brainstem; or cerebral cortex. Lesions in the temporal lobe and parietal lobe may be associated with focal seizures that may feature vertigo as an ictal manifestation. (From Adams et al., Principles of Neurology, 6th ed, pp300-1)	1	['neurologic_manifestation', 'vestibular_disease']
aviation	16	The first aviation polices were underwritten by the marine insurance underwriting community . The first specialist aviation insurers emerged in 1924 . In 1929 the Warsaw convention was signed .	The Aviation is a classic cocktail made with gin, maraschino liqueur, crème de violette, and lemon juice. Some recipes omit the crème de violette. It is served straight up, in a cocktail glass.	2	['cocktail']
offing	6	there was a wedding in the offing	the part of the sea that can be seen from the shore and is beyond the anchoring area	0	['body_of_water', 'water']
spark	1	a spark of interest	a small but noticeable trace of some quality that might become stronger	0	['trace', 'hint', 'suggestion']
python	5	Since the proliferation of Monty Python related names has increased over the past year , the PSA felt it would be wise to licencing the Python name to forestall any lawsuits .	Python is an interpreted, high-level, general-purpose programming language	3	['object_oriented_programming_language']
course	1	the course had only nine holes	facility consisting of a circumscribed area of land or water laid out for a sport	0	['facility', 'installation']
